order_id,customer_id,order_date,product_category,order_value,discount,shipping_days,payment_method,returned
O00086,C0021,2025-05-20,Fashion,2560.38,5,1,COD,Yes
O00087,C0021,2024-12-15,Beauty,768.57,20,7,Card,No
O00088,C0022,2024-11-28,Fashion,4748.43,10,4,UPI,Yes
O00089,C0023,2025-08-07,Home,3508.98,0,8,Card,No
O00090,C0023,2025-02-16,Electronics,3574.34,5,8,COD,Yes
O00091,C0023,2025-07-12,Fashion,750.93,10,4,Card,Yes
O00092,C0023,2024-07-03,Beauty,996.43,20,5,COD,No
O00093,C0023,2024-09-07,Books,2449.75,10,5,Wallet,No
O00094,C0023,2024-07-24,Home,3070.58,20,7,COD,Yes
O00095,C0023,2024-08-04,Home,1298.84,20,1,UPI,Yes
O00096,C0024,2026-01-14,Home,4851.47,15,8,COD,No
O00097,C0024,2024-12-14,Books,4317.12,15,6,COD,No
O00098,C0024,2024-10-05,Home,2383.16,10,6,UPI,No
O00099,C0024,2026-02-06,Beauty,4159.65,15,1,Wallet,Yes
O00100,C0024,2025-03-09,Books,2688.51,0,8,Card,No
O00101,C0024,2025-01-10,Books,4652.83,0,8,UPI,Yes
O00102,C0024,2025-02-07,Beauty,1691.6,15,1,UPI,Yes
O00103,C0025,2026-07-30,Beauty,4676.73,10,5,Wallet,No
O00104,C0025,2026-07-03,Books,1369.91,5,3,Card,Yes
O00105,C0025,2025-12-14,Home,3908.84,20,7,COD,Yes
O00106,C0026,2025-10-02,Books,1856.59,10,7,Card,Yes
O00107,C0026,2025-06-21,Electronics,1321.1,10,7,Wallet,No
O00108,C0026,2025-06-24,Books,4944.39,0,3,Card,No
O00109,C0026,2024-09-04,Electronics,4396.11,20,8,Wallet,Yes
O00110,C0026,2024-10-19,Electronics,2167.9,15,3,COD,No
O00111,C0026,2025-07-06,Beauty,3319.22,15,6,COD,No
O00112,C0026,2024-06-30,Home,3163.81,5,4,UPI,No
O00113,C0026,2024-09-02,Books,3849.77,5,2,COD,Yes
O00114,C0027,2025-04-10,Beauty,898.74,5,7,Card,Yes
O00115,C0027,2024-04-14,Beauty,3125.56,5,7,Wallet,Yes
O00116,C0027,2024-09-18,Books,2413.52,10,5,UPI,No
O00117,C0027,2024-11-14,Electronics,3452.53,15,3,COD,No
O00118,C0027,2025-04-03,Home,3513.5,5,8,Wallet,No
O00119,C0027,2024-05-13,Beauty,1338.59,10,6,COD,Yes
O00120,C0028,2026-10-06,Fashion,4197.63,20,5,COD,Yes
O00121,C0029,2025-01-01,Electronics,1682.88,20,8,COD,Yes
O00122,C0029,2025-02-22,Books,4566.21,5,6,Card,Yes
O00123,C0030,2025-07-25,Home,1433.46,10,8,UPI,No
O00124,C0030,2025-04-25,Books,875.63,20,4,COD,Yes
O00125,C0030,2026-03-18,Books,266.81,10,2,COD,No
O00126,C0030,2026-02-22,Books,720.06,0,4,COD,Yes
O00127,C0030,2025-04-12,Home,3249.94,15,8,UPI,Yes
O00128,C0031,2024-09-21,Books,4458.84,15,3,COD,No
O00129,C0031,2024-07-01,Books,4449.99,20,2,Wallet,No
O00130,C0032,2024-04-28,Beauty,4908.45,10,6,UPI,No
O00131,C0032,2024-10-26,Books,1111.08,0,2,Card,Yes
O00132,C0032,2024-03-09,Fashion,3976.61,20,4,Card,Yes
O00133,C0032,2024-08-17,Home,3014.64,5,4,UPI,No
O00134,C0032,2024-06-14,Fashion,4940.13,0,5,UPI,Yes
O00135,C0032,2024-02-02,Beauty,1919.56,10,4,UPI,Yes
O00136,C0033,2024-07-20,Beauty,2485.98,20,6,UPI,No
O00137,C0033,2025-10-13,Beauty,1263.44,10,1,Wallet,Yes
O00138,C0034,2025-06-18,Electronics,3619.53,0,8,COD,Yes
O00139,C0034,2024-04-09,Books,805.72,20,6,COD,No
O00140,C0035,2025-11-30,Books,2367.46,10,4,Wallet,No
O00141,C0035,2025-11-15,Books,3702.14,10,6,COD,No
O00142,C0035,2025-02-19,Electronics,3496.74,0,8,UPI,Yes
O00143,C0035,2025-12-02,Fashion,663.51,20,6,UPI,No
O00144,C0036,2025-09-30,Electronics,3081.97,20,6,Card,Yes
O00145,C0037,2025-03-30,Books,3860.51,20,4,UPI,No
O00146,C0037,2025-01-01,Home,1066.0,10,5,UPI,Yes
O00147,C0037,2025-04-28,Electronics,2918.34,5,7,UPI,Yes
O00148,C0037,2026-05-30,Books,1232.64,10,7,Card,No
O00149,C0037,2025-10-18,Electronics,3663.66,5,2,Card,Yes
O00150,C0037,2025-02-24,Books,1506.09,20,7,Wallet,No
O00151,C0038,2024-09-10,Beauty,1559.58,10,8,UPI,Yes
O00152,C0038,2025-06-28,Electronics,4925.34,5,1,COD,Yes
O00153,C0038,2024-10-07,Home,3867.97,0,5,UPI,No
O00154,C0038,2025-08-03,Beauty,1043.34,5,7,COD,Yes
O00155,C0038,2025-06-30,Books,4336.47,0,1,Wallet,Yes
O00156,C0038,2025-04-05,Books,2963.64,10,7,UPI,No
O00157,C0038,2024-06-10,Beauty,4837.76,15,3,COD,Yes
O00158,C0039,2025-09-21,Fashion,4378.52,10,6,Card,Yes
O00159,C0039,2026-01-16,Home,3239.48,10,4,Card,Yes
O00160,C0040,2024-05-10,Books,1050.3,20,8,Wallet,No
O00161,C0040,2025-01-11,Books,924.6,15,2,COD,No
O00162,C0040,2024-04-20,Home,1889.32,15,2,Wallet,Yes
O00163,C0041,2025-07-03,Books,2045.52,20,1,Card,No
O00164,C0041,2025-06-01,Books,2606.56,0,1,COD,Yes
O00165,C0042,2025-12-09,Home,2715.53,10,3,COD,No
O00166,C0042,2025-11-08,Home,3917.43,0,1,COD,Yes
O00167,C0042,2025-10-16,Home,1563.91,0,3,Card,No
O00168,C0042,2025-07-30,Fashion,4844.94,20,7,UPI,No
O00169,C0042,2025-10-06,Fashion,3288.77,20,6,UPI,No
O00170,C0042,2026-02-18,Home,1936.77,5,6,Card,No
O00171,C0042,2026-01-26,Fashion,1121.63,0,3,COD,Yes
O00172,C0042,2026-02-17,Home,3900.2,20,1,Card,No
O00173,C0043,2024-05-03,Books,2172.12,20,4,COD,No
O00174,C0043,2024-11-14,Books,2763.25,5,5,COD,No
O00175,C0043,2025-07-05,Beauty,3893.31,20,7,Wallet,Yes
O00176,C0043,2024-10-10,Home,4046.04,0,3,Wallet,No
O00177,C0043,2024-07-03,Home,3614.72,0,2,Card,No
O00178,C0043,2025-06-23,Books,4545.47,0,3,Card,No
O00179,C0043,2025-03-12,Electronics,4666.27,15,7,COD,Yes
O00180,C0043,2025-04-19,Fashion,4973.72,0,6,COD,Yes
O00181,C0044,2025-12-24,Fashion,4603.5,15,8,Wallet,Yes
O00182,C0045,2025-07-31,Home,3925.63,0,4,UPI,Yes
O00183,C0045,2026-06-12,Electronics,3266.97,0,8,Wallet,Yes
O00184,C0045,2026-09-18,Home,2960.23,15,3,UPI,No
O00185,C0045,2025-12-11,Electronics,2939.19,20,3,COD,Yes
O00186,C0045,2026-09-29,Books,2811.59,15,1,UPI,No
O00187,C0045,2026-04-26,Home,1417.52,0,1,COD,Yes
O00188,C0045,2025-07-24,Fashion,3903.21,0,6,COD,No
O00189,C0046,2025-08-26,Books,4095.19,0,2,COD,Yes
O00190,C0046,2025-04-06,Home,3997.32,10,1,Wallet,No
O00191,C0046,2025-11-07,Home,375.78,10,4,UPI,No
O00192,C0046,2025-11-27,Books,797.48,15,6,Wallet,No
O00193,C0046,2026-02-03,Books,4873.87,10,8,COD,Yes
O00194,C0046,2026-05-01,Beauty,578.85,10,3,COD,Yes
O00195,C0046,2025-05-13,Home,1774.02,15,5,Wallet,Yes
O00196,C0046,2026-05-21,Home,1887.43,20,1,Wallet,No
O00197,C0047,2024-12-25,Electronics,885.34,5,8,UPI,Yes
O00198,C0047,2025-12-04,Beauty,1938.32,5,1,Wallet,No
O00199,C0047,2025-12-09,Beauty,2330.91,5,2,COD,No
O00200,C0048,2025-11-03,Home,2685.18,10,2,Wallet,Yes
O00201,C0048,2025-03-29,Fashion,3531.11,0,8,Card,Yes
O00202,C0048,2025-09-15,Electronics,1028.75,10,8,COD,Yes
O00203,C0049,2025-10-14,Fashion,2642.03,5,2,Card,No
O00204,C0049,2024-11-04,Books,1932.3,20,6,Card,Yes
O00205,C0049,2024-12-15,Beauty,1684.6,15,8,Wallet,Yes
O00206,C0050,2024-07-15,Fashion,4414.21,15,3,UPI,Yes
O00207,C0050,2025-08-18,Fashion,934.47,10,3,Card,No
O00208,C0050,2025-08-19,Home,4495.64,5,2,COD,Yes
O00209,C0050,2025-01-10,Beauty,3149.26,5,2,Card,Yes
O00210,C0050,2025-02-14,Electronics,4244.14,0,1,UPI,No
O00211,C0050,2024-10-07,Beauty,3881.4,0,7,Wallet,No
O00212,C0051,2025-02-07,Books,3505.35,15,3,Wallet,No
O00213,C0051,2025-06-21,Home,1832.92,10,3,COD,No
O00214,C0051,2025-04-07,Home,3851.19,5,2,Wallet,Yes
O00215,C0051,2025-08-25,Electronics,2358.06,0,3,COD,No
O00216,C0051,2026-01-27,Home,1391.7,20,3,COD,Yes
O00217,C0051,2025-05-07,Books,2591.67,10,8,Wallet,Yes
O00218,C0051,2025-02-25,Fashion,4737.12,5,8,COD,Yes
O00219,C0051,2025-01-15,Home,1550.51,20,8,UPI,Yes
O00220,C0052,2024-09-24,Home,2122.79,20,4,COD,Yes
O00221,C0052,2025-09-08,Beauty,2620.43,20,5,UPI,Yes
O00222,C0052,2024-11-16,Beauty,2090.74,10,6,Card,Yes
O00223,C0052,2026-01-12,Electronics,2126.66,0,1,Card,No
O00224,C0052,2025-12-07,Beauty,2692.8,20,3,Card,No
O00225,C0052,2025-07-01,Beauty,980.01,10,5,Wallet,No
O00226,C0053,2024-09-28,Beauty,3065.17,20,5,Card,Yes
O00227,C0053,2026-01-05,Fashion,1018.46,5,7,UPI,Yes
O00228,C0053,2025-03-15,Books,290.9,5,6,Wallet,Yes
O00229,C0053,2025-10-26,Electronics,2608.73,5,8,Card,No
O00230,C0053,2026-01-03,Fashion,2722.29,15,6,COD,No
O00231,C0054,2025-06-27,Beauty,4795.22,10,5,Card,No
O00232,C0054,2025-10-04,Home,3583.52,15,8,COD,No
O00233,C0054,2025-10-03,Books,785.0,10,7,Card,No
O00234,C0054,2025-01-25,Home,1580.63,15,2,COD,No
O00235,C0054,2025-07-20,Beauty,1169.93,10,5,Card,Yes
O00236,C0054,2025-08-15,Fashion,1363.8,0,4,UPI,No
O00237,C0054,2025-11-16,Fashion,3643.32,0,2,Card,No
O00238,C0054,2026-04-14,Home,2491.75,10,4,COD,Yes
O00239,C0055,2025-10-06,Electronics,2205.85,15,3,Wallet,Yes
O00240,C0056,2026-04-03,Fashion,1565.9,20,8,Wallet,No
O00241,C0056,2025-11-08,Fashion,4082.31,15,6,COD,Yes
O00242,C0057,2025-03-21,Books,2673.35,0,2,Card,Yes
O00243,C0057,2025-05-11,Electronics,1753.29,10,4,Wallet,Yes
O00244,C0057,2025-04-10,Home,3818.03,20,6,UPI,No
O00245,C0057,2025-01-11,Electronics,3525.29,15,1,COD,Yes
O00246,C0057,2025-02-27,Electronics,3493.15,10,5,COD,Yes
O00247,C0057,2024-08-20,Fashion,4795.33,15,8,COD,No
O00248,C0057,2025-05-05,Fashion,3835.28,20,4,UPI,No
O00249,C0058,2026-03-31,Beauty,919.29,15,6,UPI,Yes
O00250,C0058,2026-02-10,Electronics,636.52,15,8,Card,No
O00251,C0058,2026-01-08,Home,2906.77,0,8,Wallet,No
O00252,C0058,2024-10-01,Electronics,3779.86,15,2,COD,Yes
O00253,C0059,2025-07-25,Books,2162.56,10,3,Wallet,No
O00254,C0060,2025-07-21,Beauty,1056.67,5,7,Card,Yes
O00255,C0060,2025-04-14,Beauty,4896.76,15,8,Wallet,Yes
O00256,C0060,2025-11-30,Home,2411.0,5,3,UPI,Yes
O00257,C0060,2026-05-25,Fashion,3151.63,5,1,UPI,Yes
O00258,C0060,2025-04-25,Fashion,2342.92,0,1,Wallet,No
O00259,C0060,2025-11-16,Fashion,2790.85,20,1,COD,Yes
O00260,C0061,2025-07-18,Books,4931.34,10,4,COD,Yes
O00261,C0061,2025-08-20,Beauty,3204.77,15,7,UPI,No
O00262,C0061,2026-03-19,Books,3971.86,15,6,Card,No
O00263,C0061,2026-03-14,Fashion,1082.62,5,8,COD,Yes
O00264,C0061,2026-06-11,Books,4590.76,20,7,Card,No
O00265,C0062,2024-08-07,Electronics,2771.05,10,4,Wallet,Yes
O00266,C0062,2024-07-18,Books,1103.18,5,4,COD,No
O00267,C0062,2024-05-20,Electronics,1216.68,15,4,Card,Yes
O00268,C0062,2025-06-15,Home,4592.61,15,6,Wallet,No
O00269,C0062,2025-03-16,Books,1455.5,0,8,Wallet,No
O00270,C0062,2024-11-29,Electronics,1979.38,20,7,Card,Yes
O00271,C0063,2024-07-28,Beauty,1783.35,5,7,Wallet,No
O00272,C0063,2024-09-29,Books,3864.13,15,8,Card,No
O00273,C0063,2024-07-01,Fashion,871.8,20,8,UPI,Yes
O00274,C0064,2025-07-24,Electronics,4244.21,5,4,UPI,Yes
O00275,C0064,2026-08-05,Beauty,2388.85,20,1,Wallet,No
O00276,C0064,2025-03-22,Electronics,231.74,0,7,COD,No
O00277,C0064,2025-03-23,Fashion,2610.64,0,7,UPI,Yes
O00278,C0064,2025-11-07,Home,1121.27,10,5,Wallet,Yes
O00279,C0064,2026-03-23,Beauty,4804.63,5,8,Card,No
O00280,C0064,2025-05-27,Electronics,3337.93,15,1,Wallet,No
O00281,C0065,2025-01-02,Home,2599.32,20,7,UPI,Yes
O00282,C0065,2025-06-02,Home,1214.8,0,8,UPI,No
O00283,C0065,2024-11-12,Electronics,1060.9,5,6,Card,No
O00284,C0066,2026-03-26,Electronics,2042.46,20,3,COD,Yes
O00285,C0066,2025-07-30,Home,2298.02,20,2,Wallet,No
O00286,C0066,2025-05-21,Books,3243.79,5,8,COD,No
O00287,C0066,2026-07-07,Electronics,1091.54,20,7,COD,Yes
O00288,C0066,2025-07-05,Books,593.78,5,3,Wallet,No
O00289,C0066,2026-04-25,Home,711.44,15,1,COD,No
O00290,C0066,2025-08-03,Books,836.03,15,3,Wallet,Yes
O00291,C0067,2025-02-12,Books,259.23,0,7,Card,Yes
O00292,C0067,2025-02-07,Home,1013.61,10,5,Wallet,Yes
O00293,C0067,2024-03-19,Books,1002.6,10,5,Wallet,Yes
O00294,C0067,2025-01-18,Books,1408.16,20,4,Card,No
O00295,C0067,2024-05-03,Books,850.35,10,1,Wallet,No
O00296,C0067,2025-04-09,Home,1806.73,10,3,Card,No
O00297,C0068,2025-02-13,Books,1764.25,10,5,UPI,Yes
O00298,C0068,2024-12-11,Books,3472.22,5,1,Wallet,No
O00299,C0068,2024-08-19,Books,4131.03,5,7,COD,Yes
O00300,C0068,2025-02-23,Books,3361.58,0,7,Wallet,No
O00301,C0068,2025-07-25,Beauty,2764.96,0,7,COD,Yes
O00302,C0068,2024-09-29,Fashion,3890.98,20,6,UPI,No
O00303,C0068,2025-05-15,Electronics,4835.44,0,7,UPI,No
O00304,C0068,2025-01-23,Books,2651.25,10,4,Wallet,No
O00305,C0069,2026-06-09,Electronics,701.84,0,7,Card,No
O00306,C0070,2025-05-31,Books,2485.58,10,8,UPI,No
O00307,C0070,2024-07-24,Electronics,4088.89,10,2,UPI,Yes
O00308,C0070,2025-02-13,Home,2676.77,20,3,Wallet,No
O00309,C0070,2025-02-01,Fashion,4029.23,15,3,Wallet,Yes
O00310,C0070,2024-12-28,Books,2357.96,0,7,Card,Yes
O00311,C0070,2025-03-21,Beauty,3811.16,0,2,Card,No
O00312,C0070,2025-05-08,Home,1145.96,15,2,COD,No
O00313,C0070,2025-07-15,Home,3017.62,15,6,Card,No
O00314,C0071,2025-12-16,Home,1665.82,5,3,Wallet,No
O00315,C0071,2025-09-04,Fashion,2959.07,15,7,Card,Yes
O00316,C0072,2025-09-10,Fashion,4768.84,5,8,Wallet,No
O00317,C0073,2024-10-21,Home,2913.91,0,4,COD,Yes
O00318,C0073,2025-05-20,Beauty,1007.4,15,8,UPI,Yes
O00319,C0073,2025-04-29,Beauty,3920.54,0,6,Wallet,Yes
O00320,C0074,2025-11-09,Books,1461.51,0,2,Card,Yes
O00321,C0075,2025-09-19,Beauty,4104.94,10,1,COD,Yes
O00322,C0075,2026-01-17,Home,4899.2,20,5,COD,Yes
O00323,C0075,2025-07-08,Electronics,4821.31,10,7,Card,Yes
O00324,C0076,2025-09-21,Books,882.42,15,5,Wallet,Yes
O00325,C0076,2024-08-11,Home,2133.68,15,5,Wallet,No
O00326,C0076,2024-05-10,Books,4370.76,10,2,UPI,No
O00327,C0076,2024-12-17,Books,4847.02,10,4,COD,No
O00328,C0076,2025-04-18,Beauty,2827.09,15,3,COD,Yes
O00329,C0076,2024-06-24,Electronics,677.96,0,8,Card,No
O00330,C0076,2025-08-18,Fashion,203.24,5,7,COD,Yes
O00331,C0077,2026-04-08,Electronics,3389.64,15,3,COD,Yes
O00332,C0077,2026-06-06,Electronics,3346.33,5,2,Wallet,Yes
O00333,C0078,2025-02-23,Fashion,4122.12,15,7,UPI,Yes
O00334,C0079,2025-07-27,Books,4428.75,5,3,Card,Yes
O00335,C0079,2026-01-10,Books,2903.8,10,3,Card,Yes
O00336,C0079,2025-09-10,Fashion,3157.16,0,8,UPI,Yes
O00337,C0079,2024-11-19,Home,3029.95,15,7,COD,Yes
O00338,C0079,2025-03-26,Fashion,1529.44,20,2,COD,Yes
O00339,C0079,2025-05-20,Books,1186.14,10,4,UPI,Yes
O00340,C0080,2026-03-05,Home,4465.88,10,1,Card,No
O00341,C0080,2025-11-15,Books,1953.98,0,3,UPI,Yes
O00342,C0081,2025-06-05,Books,3882.13,0,7,Card,No
O00343,C0081,2024-04-03,Fashion,1687.55,20,4,COD,No
O00344,C0081,2024-03-16,Fashion,1688.81,0,7,Card,Yes
O00345,C0081,2025-03-28,Home,756.74,5,1,UPI,Yes
O00346,C0081,2024-05-28,Books,3567.2,10,3,COD,Yes
O00347,C0082,2024-08-09,Home,1808.05,20,7,UPI,No
O00348,C0082,2024-09-26,Electronics,2581.51,15,6,Card,No
O00349,C0083,2024-05-06,Fashion,4321.71,0,1,Wallet,No
O00350,C0084,2025-03-02,Home,1744.65,10,7,UPI,No
O00351,C0084,2024-11-15,Fashion,2609.8,5,1,UPI,No
O00352,C0084,2024-09-24,Home,4409.56,10,5,UPI,No
O00353,C0084,2024-07-24,Beauty,1970.81,10,5,Card,No
O00354,C0084,2025-07-28,Fashion,3040.12,20,8,Card,Yes
O00355,C0084,2024-07-22,Fashion,4675.51,20,1,COD,Yes
O00356,C0084,2025-06-24,Home,207.02,0,7,Card,Yes
O00357,C0085,2024-11-06,Beauty,410.72,15,4,COD,No
O00358,C0085,2024-10-28,Books,2987.7,0,3,UPI,No
O00359,C0085,2024-12-14,Home,1336.5,15,5,COD,No
O00360,C0085,2025-11-09,Fashion,1505.39,5,2,UPI,Yes
O00361,C0085,2024-11-19,Home,989.0,15,8,UPI,No
O00362,C0086,2025-08-09,Beauty,956.55,0,5,Card,No
O00363,C0086,2025-10-07,Home,637.82,15,4,UPI,No
O00364,C0087,2024-08-18,Electronics,2417.81,0,3,UPI,Yes
O00365,C0087,2024-09-24,Home,1151.04,0,7,COD,Yes
O00366,C0087,2024-06-05,Books,4986.37,5,4,UPI,No
O00367,C0087,2024-09-16,Electronics,404.94,5,8,Wallet,No
O00368,C0088,2025-04-19,Home,4559.86,15,5,Card,Yes
O00369,C0088,2025-05-21,Books,3306.94,20,8,Wallet,Yes
O00370,C0088,2024-12-10,Books,1542.92,5,3,Card,Yes
O00371,C0088,2025-10-08,Books,3953.2,20,6,Wallet,No
O00372,C0088,2026-02-08,Fashion,1743.7,0,5,COD,Yes
O00373,C0088,2024-10-12,Electronics,4499.67,15,5,COD,Yes
O00374,C0089,2025-12-24,Home,2963.32,5,7,Card,Yes
O00375,C0090,2025-10-26,Beauty,4748.28,5,3,Wallet,No
O00376,C0091,2024-04-20,Home,2726.95,20,1,Card,Yes
O00377,C0091,2025-03-14,Electronics,3641.3,0,6,Card,Yes
O00378,C0091,2024-07-22,Electronics,4263.11,10,6,Wallet,Yes
O00379,C0091,2025-03-10,Fashion,1648.47,15,3,Wallet,No
O00380,C0092,2025-04-22,Fashion,1672.75,5,5,UPI,No
O00381,C0092,2024-05-03,Beauty,1073.99,5,6,UPI,No
O00382,C0092,2024-08-22,Fashion,1789.61,10,2,COD,Yes
O00383,C0093,2025-08-20,Home,1206.48,10,2,UPI,Yes
O00384,C0094,2025-06-13,Beauty,4432.5,15,6,UPI,No
O00385,C0094,2024-09-12,Electronics,980.75,10,2,UPI,No
O00386,C0094,2024-10-19,Home,4767.98,5,2,Wallet,Yes
O00387,C0094,2024-04-11,Home,2825.82,20,2,Wallet,Yes
O00388,C0094,2025-04-11,Beauty,4723.72,15,3,Card,Yes
O00389,C0094,2024-05-08,Books,1789.25,20,4,COD,No
O00390,C0094,2024-11-25,Books,1340.23,20,1,Wallet,Yes
O00391,C0095,2024-08-20,Fashion,665.54,10,4,UPI,No
O00392,C0095,2024-05-26,Books,1680.1,15,7,COD,Yes
O00393,C0095,2025-02-28,Home,1087.43,5,7,Wallet,Yes
O00394,C0095,2024-10-24,Fashion,2310.75,10,5,UPI,Yes
O00395,C0095,2024-05-07,Beauty,611.4,15,6,Card,Yes
O00396,C0095,2025-02-28,Beauty,4128.35,15,7,Card,No
O00397,C0095,2024-11-30,Beauty,578.98,20,1,Card,Yes
O00398,C0095,2025-05-02,Fashion,1029.82,5,3,Card,Yes
O00399,C0096,2025-04-26,Electronics,1734.8,15,2,Wallet,No
O00400,C0096,2025-05-14,Beauty,2694.5,20,1,Wallet,Yes
